"Status","Name","Duration in ms","Description"
"broken","cases.app_ui.android.demoProject.test_start_page.TestStartPage#test_click_start_btn","0",""
"broken","cases.app_ui.android.demoProject.test_index_page.TestIndexPage#test_silde","0",""
"passed","cases.api.demoProject.api.test_demoProject_login.TestLogin#test_search_kw","28",""
"broken","cases.app_ui.android.demoProject.test_start_page.TestStartPage#test_search_en","0",""
"broken","cases.app_ui.android.demoProject.test_start_page.TestStartPage#test_choice_a_city","0",""
"skipped","test_demo.TestShoppingTrolley#test_delete_shopping_trolley","0",""
"broken","cases.app_ui.android.demoProject.test_start_page.TestStartPage#test_search_chinese","0",""
"broken","cases.web_ui.demoProject.test_demoProject_search.TestIndex#test_search_kw","0",""
"broken","cases.web_ui.demoProject.test_demoProject_index.TestIndex#test_search_empty_kw","0",""
"passed","test_demo.TestShoppingTrolley#test_edit_shopping_trolley","0",""
"passed","cases.api.demoProject.api.test_demoProject_login.TestLogin#test_get_index","101",""
"broken","cases.web_ui.demoProject.test_demoProject_index.TestIndex#test_search_kw","0",""
"passed","test_demo.TestShoppingTrolley#test_add_shopping_trolley","4",""
